詞語,讀音,備註
嘴講老大,,
射屁小夥子,,
窮爺,,
蘇空頭,,
杭鐵頭,,
老闆,,
老闆娘,,
東家,,
夥計,,
學生意,,
小販,,
做小生意个,,
攤販,,
擺攤頭个,,
老師,,
先生,,
學生子,,
木匠,,
泥水匠,,
鐵匠,,
銅匠,,
補鑊子个,,
洋鉛匠,,
裁縫,,
剃頭師父,,
腳伕,,
轎板,,
薦頭,,
堂倌,,
船老大,,
船丄人,,
燒飯師父,,
飯師父,,
喫開口飯个,,
奶媽,,
傭人,,
阿媽,,
孃姨,,
小大姐,,
走做,,
倒老爺,,
郎中,,
走方郎中,,
白花郎中,,
老孃,,
和尚,,
師姑,,
道士,,
香火,,
親眷,,
至親,,
長輩,,
太太,,
阿爹,,
好婆,,
阿婆,,
外公阿爹,,
阿爹,,
外婆,,
好婆,,
爹爹,,
爸爸,,
姆媽,,
姆娒,,
丈人,,
丈姆,,
丈姆娘,,
阿公,,
阿婆,,
婆太太,,
爺孃家,,
老伯伯,,
麻麻,,
伯伯,,
娘娘,,
娒娒,,
叔叔,,
阿叔,,
